"name","parent_id","level_code","property_cost_method"
"حاوی تک گیاه","21211","7","قیمت استاندارد"
"حاوی چند گیاه","21211","8","قیمت استاندارد"
"حاوی گیاه کنگر فرنگی","21212","1","قیمت استاندارد"
"حاوی فراورده حیوانی","21212","6","قیمت استاندارد"
"حاوی تک گیاه","21212","7","قیمت استاندارد"
"حاوی چند گیاه","21212","8","قیمت استاندارد"
"حاوی گیاه گالگا","21213","1","قیمت استاندارد"
"حاوی فراورده حیوانی","21213","6","قیمت استاندارد"
"حاوی تک گیاه","21213","7","قیمت استاندارد"
"حاوی چند گیاه","21213","8","قیمت استاندارد"
"حاوی گیاه گزنه","21214","1","قیمت استاندارد"
"حاوی گیاه دم اسب","21214","2","قیمت استاندارد"
"حاوی گیاه کدو","21214","3","قیمت استاندارد"
"حاوی گیاه نخل","21214","4","قیمت استاندارد"
"حاوی گیاه قره قاط","21214","5","قیمت استاندارد"
"حاوی چند گیاه","21214","6","قیمت استاندارد"
"حاوی تک گیاه","21214","7","قیمت استاندارد"
"حاوی چند گیاه","21214","8","قیمت استاندارد"
"حاوی فراورده حیوانی","21215","6","قیمت استاندارد"
"حاوی تک گیاه","21215","7","قیمت استاندارد"
"حاوی چند گیاه","21215","8","قیمت استاندارد"
"حاوی گیاه گل ساعتی","21221","1","قیمت استاندارد"
"حاوی گیاه سنبل الطیب","21221","2","قیمت استاندارد"
"حاوی گیاه رازک","21221","3","قیمت استاندارد"
"حاوی گیاه کاهو و خشخاش","21221","4","قیمت استاندارد"
"حاوی فراورده حیوانی","21221","6","قیمت استاندارد"
"حاوی تک گیاه","21221","7","قیمت استاندارد"
"حاوی چند گیاه","21221","8","قیمت استاندارد"
"حاوی گیاه علف چای","21222","1","قیمت استاندارد"
"حاوی گیاه داوودی","21222","2","قیمت استاندارد"
"حاوی گیاه پرتقال","21222","3","قیمت استاندارد"
"حاوی گیاه گل گاوزبان","21222","4","قیمت استاندارد"
"حاوی گیاه شمعدانی","21222","5","قیمت استاندارد"
"حاوی فراورده حیوانی","21222","6","قیمت استاندارد"
"حاوی تک گیاه","21222","7","قیمت استاندارد"
"حاوی چند گیاه","21222","8","قیمت استاندارد"
"حاوی گیاه جینکوبیلوبا","21223","1","قیمت استاندارد"
"حاوی فراورده حیوانی","21223","6","قیمت استاندارد"
"حاوی تک گیاه","21223","7","قیمت استاندارد"
"حاوی چند گیاه","21223","8","قیمت استاندارد"
"حاوی فراورده حیوانی","21224","6","قیمت استاندارد"
"حاوی تک گیاه","21224","7","قیمت استاندارد"
"حاوی چند گیاه","21224","8","قیمت استاندارد"
"حاوی گیاه اکلیل کوهی","21225","1","قیمت استاندارد"
"حاوی گیاه فلفل","21225","2","قیمت استاندارد"
"حاوی گیاه گشنیز","21225","3","قیمت استاندارد"
"حاوی گیاه ریحان و مرزه","21225","4","قیمت استاندارد"
"حاوی گیاه کتان","21225","5","قیمت استاندارد"
"حاوی فراورده حیوانی","21225","6","قیمت استاندارد"
"حاوی تک گیاه","21225","7","قیمت استاندارد"
"حاوی چند گیاه","21225","8","قیمت استاندارد"
"حاوی گیاه پنجه شیطان","21226","1","قیمت استاندارد"
"حاوی فراورده حیوانی","21226","6","قیمت استاندارد"
"حاوی تک گیاه","21226","7","قیمت استاندارد"
"حاوی چند گیاه","21226","8","قیمت استاندارد"
"موثر بر نفخ ، سوء هاضمه و اسپاسم گوارشی","21231","1","قیمت استاندارد"
"موثر بر التهاب و زخم گوارشی","21231","2","قیمت استاندارد"
"موثر بر یبوست","21231","3","قیمت استاندارد"
"موثر بر اسهال","21231","4","قیمت استاندارد"
"موثر بر کبد و صفرا","21231","5","قیمت استاندارد"
"موثر بر هموروئید","21231","6","قیمت استاندارد"
"موثر بر تهوع و استفراغ","21231","7","قیمت استاندارد"
"حاوی گیاه بابونه","21232","1","قیمت استاندارد"
"حاوی گیاه میخک","21232","2","قیمت استاندارد"
"حاوی گیاه ریوند","21232","3","قیمت استاندارد"
"حاوی گیاه روبارب","21232","4","قیمت استاندارد"
"حاوی گیاه مریم گلی","21232","5","قیمت استاندارد"
"حاوی فراورده حیوانی","21232","6","قیمت استاندارد"
"حاوی تک گیاه","21232","7","قیمت استاندارد"
"حاوی چند گیاه","21232","8","قیمت استاندارد"
"تقویت کننده و تنظیم کننده های بدن","21233","1","قیمت استاندارد"
"اشتها آور ها","21233","2","قیمت استاندارد"
"تنظیم کننده وزن بدن","21233","3","قیمت استاندارد"
"حاوی گیاه نعناع","21241","1","قیمت استاندارد"
"حاوی فراورده حیوانی","21241","6","قیمت استاندارد"
"حاوی تک گیاه","21241","7","قیمت استاندارد"
"حاوی چند گیاه","21241","8","قیمت استاندارد"
"حاوی گیاه آویشن","21242","1","قیمت استاندارد"
"حاوی گیاه پونه","21242","2","قیمت استاندارد"
"حاوی گیاه پیچک","21242","3","قیمت استاندارد"
"حاوی گیاه سیاه دانه","21242","4","قیمت استاندارد"
"حاوی گیاه گل بنفشه","21242","5","قیمت استاندارد"
"حاوی فراورده حیوانی","21242","6","قیمت استاندارد"
"حاوی تک گیاه","21242","7","قیمت استاندارد"
"حاوی چند گیاه","21242","8","قیمت استاندارد"
"حاوی گیاه اسارن","21244","1","قیمت استاندارد"
"حاوی فراورده حیوانی","21244","6","قیمت استاندارد"
"حاوی تک گیاه","21244","7","قیمت استاندارد"
"حاوی چند گیاه","21244","8","قیمت استاندارد"
"حاوی فراورده حیوانی","21245","6","قیمت استاندارد"
"حاوی تک گیاه","21245","7","قیمت استاندارد"
"حاوی چند گیاه","21245","8","قیمت استاندارد"
"حاوی فراورده حیوانی","21246","6","قیمت استاندارد"
"حاوی تک گیاه","21246","7","قیمت استاندارد"
"حاوی چند گیاه","21246","8","قیمت استاندارد"
"حاوی تک گیاه","21247","6","قیمت استاندارد"
"حاوی تک گیاه","21247","7","قیمت استاندارد"
"حاوی چند گیاه","21247","8","قیمت استاندارد"
"حاوی گیاه پنج انگشت","21251","1","قیمت استاندارد"
"حاوی گیاه رازیانه","21251","2","قیمت استاندارد"
"حاوی گیاه توت مار","21251","3","قیمت استاندارد"
"حاوی گیاه پامچال","21251","4","قیمت استاندارد"
"حاوی گیاه سویا","21251","5","قیمت استاندارد"
"حاوی فراورده حیوانی","21251","6","قیمت استاندارد"
"حاوی تک گیاه","21251","7","قیمت استاندارد"
"حاوی چند گیاه","21251","8","قیمت استاندارد"
"حاوی گیاه گل سرخ","21252","1","قیمت استاندارد"
"حاوی فرآورده حیوانی","21252","6","قیمت استاندارد"
"حاوی تک گیاه","21252","7","قیمت استاندارد"
"حاوی چند گیاه","21252","8","قیمت استاندارد"
"حاوی گیاه شیرین بیان و گیاه خار مریم","21261","1","قیمت استاندارد"
"حاوی گیاه همیشه بهار","21261","2","قیمت استاندارد"
"حاوی گیاه بابونه","21261","3","قیمت استاندارد"
"حاوی گیاه حنا","21261","4","قیمت استاندارد"
"حاوی فرآورده حیوانی و گیاهی","21261","5","قیمت استاندارد"
"حاوی فراورده حیوانی","21261","6","قیمت استاندارد"
"حاوی تک گیاه","21261","7","قیمت استاندارد"
"حاوی چند گیاه","21261","8","قیمت استاندارد"
"حاوی فراورده حیوانی","21262","6","قیمت استاندارد"
"حاوی تک گیاه","21262","7","قیمت استاندارد"
"حاوی چند گیاه","21262","8","قیمت استاندارد"
"حاوی گیاه ملیلوتوس","21263","1","قیمت استاندارد"
"حاوی فرآورده حیوانی و گیاهی","21263","5","قیمت استاندارد"
"حاوی فراورده حیوانی","21263","6","قیمت استاندارد"
"حاوی تک گیاه","21263","7","قیمت استاندارد"
"حاوی چند گیاه","21263","8","قیمت استاندارد"
"حاوی گیاه اسطوخدوس","21264","1","قیمت استاندارد"
"حاوی گیاه درخت چای","21264","2","قیمت استاندارد"
"حاوی گیاه بربری","21264","3","قیمت استاندارد"
"حاوی گیاه انار","21264","4","قیمت استاندارد"
"حاوی فراورده حیوانی","21264","6","قیمت استاندارد"
"حاوی تک گیاه","21264","7","قیمت استاندارد"
"حاوی چند گیاه","21264","8","قیمت استاندارد"
"حاوی گیاه مریم گلی","21265","1","قیمت استاندارد"
"حاوی فراورده حیوانی","21265","6","قیمت استاندارد"
"حاوی تک گیاه","21265","7","قیمت استاندارد"
"حاوی چند گیاه","21265","8","قیمت استاندارد"
"حاوی گیاه سدر","21268","1","قیمت استاندارد"
"حاوی گیاه حنا و وسمه","21268","2","قیمت استاندارد"
"حاوی گیاه صبر زرد","21268","3","قیمت استاندارد"
"حاوی گیاه کتیرا","21268","4","قیمت استاندارد"
"حاوی گیاه اکلیل کوهی","21268","5","قیمت استاندارد"
"حاوی فراورده حیوانی","21268","6","قیمت استاندارد"
"حاوی تک گیاه","21268","7","قیمت استاندارد"
"حاوی چند گیاه","21268","8","قیمت استاندارد"
"حاوی گیاه مورد","21271","1","قیمت استاندارد"
"حاوی گیاه سیر","21271","2","قیمت استاندارد"
"حاوی گیاه درمنه","21271","3","قیمت استاندارد"
"حاوی گیاه آویشن","21271","4","قیمت استاندارد"
"حاوی گیاه نعناع","21271","5","قیمت استاندارد"
"حاوی فراورده حیوانی","21271","6","قیمت استاندارد"
"حاوی تک گیاه","21271","7","قیمت استاندارد"
"حاوی چند گیاه","21271","8","قیمت استاندارد"
"حاوی گیاه مورد","21272","1","قیمت استاندارد"
"حاوی گیاه بادرنجبویه","21272","2","قیمت استاندارد"
"حاوی فراورده حیوانی","21272","6","قیمت استاندارد"
"حاوی تک گیاه","21272","7","قیمت استاندارد"
"حاوی چند گیاه","21272","8","قیمت استاندارد"
"حاوی گیاه اکیناسه","21273","1","قیمت استاندارد"
"حاوی فراورده حیوانی","21273","6","قیمت استاندارد"
"حاوی تک گیاه","21273","7","قیمت استاندارد"
"حاوی چند گیاه","21273","8","قیمت استاندارد"
"حاوی گیاه بنفشه","21274","1","قیمت استاندارد"
"حاوی گیاه چای سبز","21274","2","قیمت استاندارد"
"حاوی فراورده حیوانی","21274","6","قیمت استاندارد"
"حاوی تک گیاه","21274","7","قیمت استاندارد"
"حاوی چند گیاه","21274","8","قیمت استاندارد"
"تجهیزات چشم پزشکی","21311","1","قیمت استاندارد"
"تجهیزات گوش و حلق و بینی (ENT )","21311","2","قیمت استاندارد"
"تجهیزات مغز و اعصاب","21311","3","قیمت استاندارد"
"تجهیزات اورولوژی","21312","1","قیمت استاندارد"
"تجهیزات سیستم گوارشی","21312","2","قیمت استاندارد"
"تجهیزات سیستم قلب و عروق","21312","3","قیمت استاندارد"
"تجهیزات سیستم تنفسی و بیهوشی","21312","4","قیمت استاندارد"
"اطفال","21313","1","قیمت استاندارد"
"زنان و زایمان","21313","2","قیمت استاندارد"
"پوست و مو","21313","3","قیمت استاندارد"
"ارتوپدی","21313","4","قیمت استاندارد"
"تجهیزات فیزیوتراپی و توانبخشی","21314","1","قیمت استاندارد"
"تجهیزات تصویربرداری","21314","2","قیمت استاندارد"
"تجهیزات طب هسته ای و شیمی درمانی","21314","3","قیمت استاندارد"
"تجهیزات طب فیزیکی","21314","4","قیمت استاندارد"
"تجهیزات آزمایشگاه های بیوشیمی","21315","1","قیمت استاندارد"
"تجهیزات آزمایشگاه های خون شناسی","21315","2","قیمت استاندارد"
"تجهیزات آزمایشگاه های ایمنی شناسی","21315","3","قیمت استاندارد"
"تجهیزات آزمایشگاه های میکروب شناسی","21315","4","قیمت استاندارد"
"تجهیزات آزمایشگاه های آسیب شناسی","21315","5","قیمت استاندارد"
"تجهیزات آزمایشگاه های ژنتیک","21315","6","قیمت استاندارد"
"تجهیزات استریلیزاسیون","21316","1","قیمت استاندارد"
"تجهیزات جراحی عمومی، زیبایی و پلاستیک","21316","2","قیمت استاندارد"
"تجهیزات عروقی ، مکش ، تزریق و انتقال خون","21316","3","قیمت استاندارد"
"تجهیزات عمومی تمدد اعصاب و تحرک بدن","21316","4","قیمت استاندارد"
"تجهیزات CCU و ICU","21316","5","قیمت استاندارد"
"تجهیزات سنجش عمومی","21316","6","قیمت استاندارد"
"سایر تجهیزات عمومی","21316","9","قیمت استاندارد"
"رابط ها","21318","1","قیمت استاندارد"
"نمایش دهنده ها","21318","2","قیمت استاندارد"
"جاذب ها","21318","3","قیمت استاندارد"
"محفظه ها و پوشش ها","21318","4","قیمت استاندارد"
"پایه و نگهدارنده ها","21318","5","قیمت استاندارد"
"متعلقات و ملحقات و ملزومات مصرفی (توجه به تعریف)","21318","6","قیمت استاندارد"
"سایر متعلقات و ملحقات و ملزومات مصرفی تجهیزات پزشکی و آزمایشگاه های تشخیص طبی","21318","9","قیمت استاندارد"
"ملزومات عروقی ، مکش و تزریق","21321","1","قیمت استاندارد"
"ملزومات زخم بندی و خونریزی","21321","2","قیمت استاندارد"
"ملزومات ساکشن و وکیوم","21321","3","قیمت استاندارد"
"ملزومات محافظتی بیمار","21321","4","قیمت استاندارد"
"ظروف درمانی و مراقبتی بیمار","21321","5","قیمت استاندارد"
"سایر ملزومات و مواد عمومی درمانی و مراقبت بیمار","21321","9","قیمت استاندارد"
"لوازم معاینه","21323","1","قیمت استاندارد"
"ست های تشخیص و معاینه","21323","7","قیمت استاندارد"
"ملزومات عمومی کمک درمانی جهت شرایط خاص فیزیکی","21324","1","قیمت استاندارد"
"منسوجات و پوشاک بیماران","21325","1","قیمت استاندارد"
"منسوجات و پوشاک پرسنل پزشکی","21325","2","قیمت استاندارد"
"منسوجات و پوشاک جراحی","21325","3","قیمت استاندارد"
"منسوجات طبی و بیمارستانی","21325","4","قیمت استاندارد"
"دستکش های پزشکی و محصولات مرتبط","21325","5","قیمت استاندارد"
"ابزارهای استریلیزاسیون","21326","1","قیمت استاندارد"
"نشانگرها و کنترل کنندهای استریلیزاسیون","21326","2","قیمت استاندارد"
"لفافه ها ، مواد و ملزومات بسته بندی استریلیزاسیون","21326","3","قیمت استاندارد"
"ملزومات و مواد تخصصی چشم پزشکی ، گوش و حلق و بینی و مغز و اعصاب","21327","1","قیمت استاندارد"
"ملزومات و مواد تخصصی اورولوژی ، سیستم گوارشی ، سیستم قلب و عروق و سیستم تنفسی و بیهوشی","21327","2","قیمت استاندارد"
"ملزومات و مواد تخصصی اطفال ، زنان و زایمان ، پوست و مو و ارتوپدی","21327","3","قیمت استاندارد"
"ملزومات و مواد تخصصی روش های تصویر برداری و درمان فیزیکی","21327","4","قیمت استاندارد"
"ملزومات و مواد تخصصی آزمایشگاه تشخیص طبی","21327","5","قیمت استاندارد"
"ملزومات کمکی و حمایتی ارگونومیکی","21329","1","قیمت استاندارد"
"ملزومات عمومی","21329","8","قیمت استاندارد"
"ابزار برش","21331","1","قیمت استاندارد"
"ابزار نوک تیز","21331","2","قیمت استاندارد"
"ابزار سوراخکاری و ساینده","21331","3","قیمت استاندارد"
"ابزار نگهدارنده","21332","1","قیمت استاندارد"
"ابزار اتصال","21332","2","قیمت استاندارد"
"ابزار اندازه گیری","21333","1","قیمت استاندارد"
"ابزار ضربه ای","21333","2","قیمت استاندارد"
"ست ها","21338","1","قیمت استاندارد"
"علامت زن ها","21339","1","قیمت استاندارد"
"تسطیح کننده ها","21339","2","قیمت استاندارد"
"مبدل ها و رابط ها","21339","3","قیمت استاندارد"
"سایر ابزار متفرقه پزشکی","21339","9","قیمت استاندارد"
"تجهیزات نگهداری مواد و تجهیزات پزشکی","21344","1","قیمت استاندارد"
"تجهیزات حمل و نقل مواد و تجهیزات پزشکی","21344","2","قیمت استاندارد"
"تجهیزات توزیع مواد و تجهیزات پزشکی","21344","3","قیمت استاندارد"
"تجهیزات اندازه گیری و مصرف مواد بیولوژیک و داروها","21344","4","قیمت استاندارد"
"تخت های پزشکی و محصولات مرتبط","21347","1","قیمت استاندارد"
"کمد و کابینت های پزشکی و محصولات مرتیط","21347","2","قیمت استاندارد"
"میزهای پزشکی و محصولات مرتبط","21347","3","قیمت استاندارد"
"صندلی های پزشکی و محصولات مرتبط","21347","4","قیمت استاندارد"
"سایر هتلینگ","21347","9","قیمت استاندارد"
"کیت ها ، معرف ها و مواد آزمایش های بیوشیمی بالینی عمومی خون","21371","1","قیمت استاندارد"
"کیت ها ، معرف ها و مواد آزمایش های بیوشیمی اختصاصی خون","21371","2","قیمت استاندارد"
"کیت ها ، معرف ها و مواد آزمایش های اختصاصی مدفوع","21371","3","قیمت استاندارد"
"کیت ها ، معرف ها و مواد آزمایش های اختصاصی مایع بیولوژیکی","21371","4","قیمت استاندارد"
"کیت ها ، معرف ها و مواد آزمایش های پایش سطح دارو ها در خون و مایعات بدن","21371","5","قیمت استاندارد"
"کیت ها ، معرف ها و مواد آزمایش های عمومی ادرار","21371","6","قیمت استاندارد"
"کیت ها ، معرف ها و مواد آزمایش های اختصاصی ادرار آزمایشگاه تشخیص طبی","21371","7","قیمت استاندارد"
"کیت ها ، معرف ها ، محیط های کشت و مواد آزمایش های خون شناسی عمومی","21372","1","قیمت استاندارد"
"کیت ها ، معرف ها و مواد آزمایش های انعقاد","21372","2","قیمت استاندارد"
"کیت ها ، معرف ها و مواد آزمایش های بانک خون","21372","3","قیمت استاندارد"
"کیت ها ، معرف ها و مواد آزمایش های پروتئین های فاز حاد سرم","21373","1","قیمت استاندارد"
"کیت ها ، معرف ها و مواد آزمایش های بیماری های خود ایمنی","21373","2","قیمت استاندارد"
"کیت ها ، معرف ها ، محیط های کشت و مواد آزمایش های آنتی بادی","21373","3","قیمت استاندارد"
"کیت ها ، معرف ها و مواد آزمایش های آلرژی و ایمنوگلبولین های موجود در سرم و اجزا کمپلمان","21373","4","قیمت استاندارد"
"کیت ها ، معرف ها و مواد آزمایش های هورمون های هیپوتالاموس و هیپوفیزی","21374","1","قیمت استاندارد"
"کیت ها ، معرف ها و مواد آزمایش های تیروئید و فرآورده های مربوط به هورمون های تیروئیدی","21374","2","قیمت استاندارد"
"کیت ها ، معرف ها و مواد آزمایش های هورمون های کلیه و فوق کلیه","21374","3","قیمت استاندارد"
"کیت ها ، معرف ها و مواد آزمایش های هورمون های بیضه و تخمدان","21374","4","قیمت استاندارد"
"کیت ها ، معرف ها و مواد آزمایش های هورمون های پاراتیروئید و پانکراس","21374","5","قیمت استاندارد"
"کیت ها ، معرف ها و مواد آزمایش های فرآورده های متابولیکی هورمونی","21374","6","قیمت استاندارد"
"کیت ها ، معرف ها و مواد آزمایش های ترشحات اگزوکین ( غیر هورمونی ) و تومور مارکر ها","21374","7","قیمت استاندارد"
"کیت ها ، معرف ها و مواد آزمایش های راپید تست","21374","8","قیمت استاندارد"
"کیت ها ، معرف ها ، محیط های کشت و مواد آزمایش های باکتری شناسی","21375","1","قیمت استاندارد"
"کیت ها ، معرف ها ، محیط های کشت و مواد آزمایش های باکتری شناسی اختصاصی","21375","2","قیمت استاندارد"
"کیت ها ، معرف ها ، محیط های کشت و مواد آزمایش های قارچ شناسی وویروس شناسی","21375","3","قیمت استاندارد"
"کیت ها ، معرف ها ، محیط های کشت و مواد آزمایش های انگل شناسی","21375","4","قیمت استاندارد"
"کیت ها ، معرف ها و مواد آزمایش های سیتولوژی مایعات و سیتولوژی ادرار","21376","2","قیمت استاندارد"
"کیت ها ، معرف ها و مواد آزمایش های آسپیراسیون مغز استخوان و آسپیراسیون سوزنی تیروئید، پستان و غیره","21376","3","قیمت استاندارد"
"کیت ها ، معرف ها و مواد آزمایش های پاپ اسمیر","21376","4","قیمت استاندارد"
"کیت ها ، معرف ها و مواد آزمایش های فروزن","21376","5","قیمت استاندارد"
"کیت ها ، معرف ها و مواد آزمایش های ایمنو هیستو شیمی","21376","6","قیمت استاندارد"
"کیت ها ، معرف ها و مواد آزمایش های سیتوژنتیک","21376","7","قیمت استاندارد"
"کیت ها ، معرف ها و مواد آزمایش های ژنتیک سلولی","21377","1","قیمت استاندارد"
"کیت ها ، معرف ها و مواد آزمایش های ژنتیک مولکولی","21377","2","قیمت استاندارد"
" کیت ها ، معرف ها و مواد آزمایش های پزشکی قانونی","21377","3","قیمت استاندارد"
"تجهیزات لابراتواری دندانپزشکی","21419","2","قیمت استاندارد"
"فرزهای دندانپزشکی","21427","1","قیمت استاندارد"
"ملزومات و ابزارهای بی حسی دندانپزشکی","21427","2","قیمت استاندارد"
"قلم های دندانپزشکی","21427","3","قیمت استاندارد"
"فورسپس های دندانپزشکی","21427","4","قیمت استاندارد"
"قیچی های دندانپزشکی","21427","5","قیمت استاندارد"
"ملزومات و ابزار های دستی تصویر برداری دندانپزشکی","21427","6","قیمت استاندارد"
"الواتور های دندانپزشکی","21427","7","قیمت استاندارد"
"ست ابزار دندانپزشکی","21427","8","قیمت استاندارد"
"سایر ملزومات و ابزار های دستی عمومی دندانپزشکی","21427","9","قیمت استاندارد"
"ملزومات و ابزار های لابراتواری دندانپزشکی","21429","1","قیمت استاندارد"
"پانسمان ها ، باندینگ ها و چسباننده های دندانپزشکی","21439","1","قیمت استاندارد"
"مواد سفید کننده ، ساینده و براق کننده دندانپزشکی","21439","2","قیمت استاندارد"
"مواد تصویر برداری دندانپزشکی","21439","3","قیمت استاندارد"
"مواد بی حس کننده و روت کانال دندانپزشکی","21439","4","قیمت استاندارد"
"مواد اچ کردن دندانپزشکی","21439","5","قیمت استاندارد"
"سایر مواد متفرقه دندانپزشکی","21439","9","قیمت استاندارد"
"مواد سفید کننده","21611","1","قیمت استاندارد"
"رسوب زدا و کفشویی","21611","2","قیمت استاندارد"
"پاک کننده ها","21611","3","قیمت استاندارد"
"قرص و پودر های شوینده","21612","1","قیمت استاندارد"
"شامپو ها","21612","2","قیمت استاندارد"
"صابون ها","21612","3","قیمت استاندارد"
"مایع شستشو دهنده","21612","4","قیمت استاندارد"
"نرم کننده ها","21612","5","قیمت استاندارد"
"دستگاه ها و وسایل کنترل جمعیت","21621","1","قیمت استاندارد"
"شیر خوری و سر شیشه و پستانک","21622","1","قیمت استاندارد"
"پوشک و شورت بچه","21622","2","قیمت استاندارد"
"گوش پاک کن و دندان گیر","21622","3","قیمت استاندارد"
"شیر دوش","21622","4","قیمت استاندارد"
"اقلام بهداشتی ویژه بانوان","21622","5","قیمت استاندارد"
"پودر بچه","21622","6","قیمت استاندارد"
"ست لوازم مادر و کودک","21622","7","قیمت استاندارد"
"سایر","21622","9","قیمت استاندارد"
"مواد آرایشی","21623","1","قیمت استاندارد"
"لوازم و وسایل آرایشی","21623","2","قیمت استاندارد"
"سایر","21623","9","قیمت استاندارد"
"دستمال بهداشتی","21624","1","قیمت استاندارد"
"حوله کاغذی","21624","2","قیمت استاندارد"
"ملحفه کاغذی و منسوج نبافته","21624","3","قیمت استاندارد"
"دستمال سفره کاغذی","21624","4","قیمت استاندارد"
"پنبه آرایشی بهداشتی","21624","5","قیمت استاندارد"
"لوازم حمام","21625","1","قیمت استاندارد"
"بهداشت دهان و دندان","21625","2","قیمت استاندارد"
"ست لوازم فردی","21625","7","قیمت استاندارد"
"سایر","21625","9","قیمت استاندارد"
"مطبوع کننده محیط","21626","1","قیمت استاندارد"
"ضد عرق و خوشبوکننده","21626","2","قیمت استاندارد"
"عطر ها","21626","3","قیمت استاندارد"
"ادکلن","21626","6","قیمت استاندارد"
"ست لوازم خوشبو کننده","21626","8","قیمت استاندارد"
"وسایل حفاظت از سر و صورت و چشم","21642","1","قیمت استاندارد"
"وسایل حفاظت از گوش","21642","2","قیمت استاندارد"
"وسایل حفاظت از دست ها","21642","3","قیمت استاندارد"
"وسایل حفاظت از پا ها","21642","4","قیمت استاندارد"
"وسایل حفاظت از سینه","21642","5","قیمت استاندارد"
"وسایل حفاظت از تنه","21642","6","قیمت استاندارد"
"متعلقات و ملحقات لوازم بهداشت حفاظت فردی","21642","8","قیمت استاندارد"
"سایر","21642","9","قیمت استاندارد"
"آزمون های شخصیتی","21651","1","قیمت استاندارد"
"آزمون های هوش","21651","2","قیمت استاندارد"
"آزمون های مهارتی","21651","3","قیمت استاندارد"
"آرام بخش ها","21711","1","قیمت استاندارد"
"بیحس کننده ها و بیهوش کننده ها","21711","2","قیمت استاندارد"
"ضددرد و ضدالتهاب های غیر استروئیدی","21711","3","قیمت استاندارد"
"ضدالتهاب های استروئیدی","21711","4","قیمت استاندارد"
"سایر داروها و ترکیبات حیوانی موثر بر سیستم اعصاب ، عضلات و استخوان","21711","9","قیمت استاندارد"
"الکترولیت ها","21712","1","قیمت استاندارد"
"اشتهاآور ها","21712","2","قیمت استاندارد"
"ضداسید ، نفخ و سوء هاضمه","21712","3","قیمت استاندارد"
"آنزیم ها","21712","4","قیمت استاندارد"
"ضداسهال ها","21712","5","قیمت استاندارد"
"مسهل ها","21712","6","قیمت استاندارد"
"موثر بر کبد و صفرا","21712","7","قیمت استاندارد"
"سایر دارو ها و ترکیبات حیوانی موثر بر سیستم گوارش","21712","9","قیمت استاندارد"
"آنتی هیستامین ها","21713","1","قیمت استاندارد"
"خلط آور ها","21713","2","قیمت استاندارد"
"سایر دارو ها و ترکیبات حیوانی موثر بر سیستم تنفسی","21713","9","قیمت استاندارد"
"هورمون ها","21714","1","قیمت استاندارد"
"سایر دارو ها و ترکیبات حیوانی موثر بر سیستم هورمونی","21714","9","قیمت استاندارد"
"آنتی بیوتیک ها","21715","1","قیمت استاندارد"
"ضدکرم ها","21715","2","قیمت استاندارد"
"ضدپروتوزوآ","21715","3","قیمت استاندارد"
"ضدقارچ ها","21715","4","قیمت استاندارد"
"ضدعفونی کننده ها و شوینده ها","21715","5","قیمت استاندارد"
"سموم","21715","6","قیمت استاندارد"
"جونده کش ها","21715","7","قیمت استاندارد"
"مکمل های غذایی دارویی عمومی","21716","1","قیمت استاندارد"
"مکمل های غذایی دارویی خاص","21716","2","قیمت استاندارد"
"واکسن های چهارپایان","21717","1","قیمت استاندارد"
"واکسن های طیور","21717","2","قیمت استاندارد"
"واکسن های آبزیان","21717","3","قیمت استاندارد"
"واکسن های سگ و گربه","21717","4","قیمت استاندارد"
"سایر فراورده های بیولوژیکی حیوانی","21717","9","قیمت استاندارد"
"حلال های دارویی","21719","1","قیمت استاندارد"
"ضد عفونی کننده های دامپزشکی","21719","2","قیمت استاندارد"
"ملزومات عروقی ، مکش و تزریق","21721","1","قیمت استاندارد"
"ظروف درمانی و مراقبتی بیمار","21721","2","قیمت استاندارد"
"ملزومات زخم بندی و خونریزی","21721","3","قیمت استاندارد"
"سایر","21721","9","قیمت استاندارد"
"ملزومات تخصصی زایمان","21727","3","قیمت استاندارد"
"ملزومات تخصصی ارتوپدی","21727","4","قیمت استاندارد"
"تجهیزات چشم پزشکی","21731","1","قیمت استاندارد"
"تجهیزات گوش و حلق و بینی (ENT)","21731","2","قیمت استاندارد"
"تجهیزات مغز و اعصاب","21731","3","قیمت استاندارد"
"تجهیزات اورولوژی","21732","1","قیمت استاندارد"
"تجهیزات سیستم گوارشی","21732","2","قیمت استاندارد"
"تجهیزات سیستم قلب و عروق","21732","3","قیمت استاندارد"
"تجهیزات سیستم تنفسی","21732","4","قیمت استاندارد"
"تجهیزات آزمایشگاه های بیوشیمی","21735","1","قیمت استاندارد"
"تجهیزات آزمایشگاه های خون شناسی","21735","2","قیمت استاندارد"
"تجهیزات آزمایشگاه های ایمنی شناسی","21735","3","قیمت استاندارد"
"تجهیزات آزمایشگاه های میکروب شناسی","21735","4","قیمت استاندارد"
"تجهیزات آزمایشگاه های آسیب شناسی","21735","5","قیمت استاندارد"
"تجهیزات آزمایشگاه های ژنتیک","21735","6","قیمت استاندارد"
"تجهیزات استریلیزاسیون","21736","1","قیمت استاندارد"
"تجهیزات جراحی عمومی","21736","2","قیمت استاندارد"
"تجهیزات عروقی ، مکش و تزریق","21736","3","قیمت استاندارد"
"ابزار برش","21741","1","قیمت استاندارد"
"ابزار نوک تیز","21741","2","قیمت استاندارد"
"ابزار سوراخکاری و ساینده","21741","3","قیمت استاندارد"
"ابزار نگهدارنده","21742","1","قیمت استاندارد"
